weight,value
7,70
149,197
301,349
104,138
203,254
223,295
31,35
3,27
331,429
301,349
6,65
2,22
104,138
193,256
295,369
92,116
133,172
421,488
148,185
239,300
133,172
104,138
193,256
313,392
215,279
166,215
511,593
9,97
67,86
601,698
37,47
313,392
56,70
331,415
282,374
30,40
67,86
116,150
15,20
129,162
100,129
100,129
61,70
282,374
116,150
60,79
237,315
276,346
314,408
331,429
6,60
74,93
276,346
391,454
2,17
271,314
248,322
37,47
148,185
163,217
281,365
10,103
19,24
1,11
331,415
6,60
258,323
203,254
8,81
237,315
134,177
1,6
7,76
56,70
74,93
391,454
301,349
91,105
252,335
282,374
119,158
89,118
331,384
8,87
252,335
60,79
2,22
421,488
9,97
119,158
100,129
237,315
166,215
182,236
391,454
5,54
6,65
100,129
331,415
74,93
