weight,value
4,65
6,68
8,154
11,121
12,126
14,40
15,41
20,57
20,37
26,229
29,166
33,134
39,271
49,74
52,262
57,177
62,122
63,240
65,248
65,144
68,174
71,295
75,178
78,268
80,122
83,315
87,104
93,173
98,244
102,121
104,320
106,177
108,325
110,267
110,264
113,189
115,145
121,268
131,286
131,187
141,173
144,256
145,286
146,212
159,388
165,249
166,331
167,309
170,395
171,264
174,400
176,387
183,402
186,298
187,384
187,370
188,376
191,396
191,247
201,352
214,327
215,420
220,311
229,390
237,384
247,405
248,409
252,427
260,301
261,364
272,296
274,388
276,403
278,454
278,383
279,485
280,403
292,425
293,450
293,485
298,354
299,453
300,406
307,531
307,505
317,334
317,499
318,517
320,552
321,513
327,511
328,465
329,379
331,457
332,486
335,485
335,462
336,409
336,421
341,518
343,495
343,413
346,474
348,487
350,388
354,489
358,393
359,454
361,470
362,534
363,548
365,526
371,577
371,502
375,393
376,514
385,405
387,594
388,491
391,578
394,589
394,479
407,618
409,540
411,485
413,572
413,550
415,557
416,645
420,507
427,506
427,521
431,563
435,455
440,606
440,492
444,543
449,641
450,485
460,482
461,573
462,482
469,682
470,643
479,562
482,652
483,674
485,563
486,677
490,563
490,634
492,619
496,656
496,691
498,672
500,547
502,619
503,671
508,691
509,555
512,605
515,644
516,538
518,719
522,658
524,708
534,585
536,757
541,621
546,651
547,690
547,609
549,657
553,672
561,679
562,793
564,660
566,582
566,780
566,643
570,769
570,648
571,740
572,767
574,624
575,653
577,692
586,635
587,647
592,806
593,631
593,765
594,806
595,704
597,713
605,693
612,687
615,789
617,818
618,674
618,710
627,800
628,773
629,802
635,799
636,857
639,664
642,854
645,698
646,666
646,700
647,709
652,843
655,812
656,742
656,891
657,696
660,743
667,758
675,785
680,778
680,803
686,872
687,799
687,870
688,707
688,751
692,746
692,709
693,882
693,894
695,750
696,839
703,862
710,950
713,877
714,784
721,909
723,749
725,742
731,823
732,837
733,900
734,803
744,885
748,884
756,780
757,816
757,860
757,819
759,787
765,824
768,822
769,986
771,807
772,916
773,792
779,1002
780,917
783,810
783,837
789,922
790,997
790,855
794,924
794,1020
794,958
798,837
799,857
799,828
800,916
804,1031
809,984
814,874
817,889
818,944
823,1050
830,910
831,934
832,849
849,1076
850,1083
853,1050
863,1041
868,960
870,991
871,888
873,1044
873,1043
875,1065
880,1095
880,1071
881,933
883,1019
883,926
883,1034
886,1081
891,1057
893,989
893,1008
895,943
900,1066
901,1102
903,945
904,999
906,1146
909,1126
916,1005
916,1023
920,1110
921,1069
922,945
929,1003
932,1130
933,1062
933,1041
935,1007
936,992
939,1032
940,1159
940,987
954,1027
955,1122
956,1164
956,1196
958,1093
958,1110
959,1008
962,1108
962,1079
963,1078
965,1190
966,1039
970,1166
973,1111
977,1055
978,1069
980,1056
984,1131
984,1104
987,1136
992,1095
995,1043
996,1166
1000,1137
1003,1218
1005,1132
1006,1044
1006,1136
1008,1026
1011,1177
1019,1068
1021,1083
1024,1162
1028,1150
1030,1161
1032,1230
1040,1279
1041,1161
1042,1144
1042,1137
1043,1219
1046,1277
1050,1084
1054,1077
1062,1121
1066,1083
1071,1241
1071,1220
1072,1120
1073,1209
1073,1288
1076,1161
1077,1273
1080,1290
1081,1259
1083,1100
1089,1308
1091,1236
1094,1221
1095,1169
1104,1259
1105,1153
1107,1315
1109,1323
1109,1202
1110,1235
1112,1211
1114,1270
1115,1280
1116,1144
1116,1277
1120,1359
1121,1284
1123,1349
1126,1322
1126,1364
1128,1248
1129,1257
1134,1161
1136,1327
1137,1327
1138,1311
1140,1342
1141,1258
1158,1349
1161,1392
1162,1323
1166,1351
1167,1372
1167,1290
1172,1371
1173,1367
1181,1233
1182,1274
1183,1256
1194,1314
1198,1315
1198,1258
1204,1437
1207,1278
1208,1330
1212,1433
1214,1412
1216,1347
1223,1324
1225,1410
1226,1349
1231,1395
1235,1455
1240,1334
1248,1470
1252,1422
1256,1489
1256,1279
1256,1443
1257,1458
1258,1406
1260,1328
1262,1285
1263,1453
1264,1389
1272,1296
1279,1511
1281,1433
1287,1467
1288,1492
1290,1515
1294,1467
1296,1483
1299,1326
1306,1533
1314,1383
1314,1547
1318,1460
1320,1490
1320,1381
1321,1527
1321,1526
1326,1469
1330,1459
1334,1522
1338,1536
1341,1564
1351,1535
1352,1510
1353,1585
1354,1407
1355,1536
1355,1431
1360,1518
1362,1560
1365,1529
1369,1580
1369,1488
1378,1551
1380,1558
1385,1460
1385,1487
1392,1453
1394,1550
1396,1596
1396,1617
1400,1488
1404,1472
1405,1447
1405,1585
1407,1448
1407,1620
1409,1583
1409,1517
1412,1486
1412,1514
1419,1467
1420,1481
1425,1663
1430,1525
1431,1597
1432,1458
1433,1462
